stop_id;stop_name;stop_lat;stop_lon;stop_code;location_type;parent_station;wheelchair_boarding;stop_direction
F00736;Járműtelep utca;47.582099;19.116900;F00736;;CSF00734;2;178
F00737;Járműtelep utca;47.581898;19.116665;F00737;;CSF00734;2;-176
F00738;Galopp utca;47.580648;19.116597;;;;2;8
F00739;Hajló utca;47.578779;19.112367;F00739;;CSF00739;2;-84
F00740;Hajló utca;47.578644;19.112633;F00740;;CSF00739;2;94
F00741;Óceán-árok utca;47.577995;19.115942;F00741;;CSF00745;2;11
F00742;Káposztásmegyer, Szilas-patak;47.577699;19.115144;F00742;;CSF00859;2;
F00743;Óceán-árok utca;47.578088;19.116151;F00743;;CSF00745;2;10
F00744;Óceán-árok utca;47.577716;19.115915;F00744;;CSF00745;2;-168
F00745;Óceán-árok utca;47.578382;19.115756;F00745;;CSF00745;2;-150
F00746;Káposztásmegyer, Szilas-patak;47.577348;19.114452;F00746;;CSF00859;2;
F00747;Ugró Gyula utca;47.580363;19.099139;;;;1;-69
F00748;Erdősor út;47.577937;19.106757;F00748;;CSF00748;2;32
F00749;Erdősor út;47.577901;19.106557;F00749;;CSF00748;2;-149
F00750;Újpest, Erdősor út;47.577842;19.105730;F00750;;CSF00748;1;
F00751;Iglói utca;47.573648;19.103004;F00751;;CSF00751;2;-174
F00752;Vadgesztenye utca;47.575378;19.104398;;;;1;32
F00753;Fóti út;47.577840;19.093498;F00753;;CSF00753;1;-141
F00754;Baross utca / Fóti út;47.577637;19.092799;F00754;;CSF00753;2;124
F00755;Baross utca / Fóti út;47.577044;19.092812;F00755;;CSF00753;2;35
F00756;Baross utca;47.577268;19.093796;F00756;;CSF00753;2;-54
F00757;Bucka utca;47.575036;19.098380;;;;2;-56
F00758;Nádor utca;47.575054;19.098061;F00758;;CSF00758;2;119
F00759;Nádor utca;47.574485;19.098330;F00759;;CSF00758;1;-144
F00760;Iglói utca;47.572794;19.103176;F00760;;CSF00751;2;-63
F00761;Iglói utca;47.573085;19.103000;F00761;;CSF00751;1;10
F00762;Leiningen Károly utca;47.573001;19.102378;;;;2;124
F00764;Szilágyi utca;47.570445;19.112566;F00764;;CS008289;1;109
F00767;Szusza Ferenc Stadion;47.576030;19.083852;F00767;;CSF00767;2;-142
F00768;Irányi Dániel utca;47.577055;19.086658;;;;2;125
F00769;Irányi Dániel utca / Baross utca;47.575671;19.091227;F00769;;CSF00753;2;-140
F00770;Irányi Dániel utca / Baross utca;47.574727;19.090482;F00770;;CSF00753;2;34
F00771;Baross utca;47.575003;19.090431;F00771;;CSF00753;2;180
F00772;Vécsey Károly utca;47.571975;19.095847;F00772;;CS009557;1;-140
F00773;Vécsey Károly utca;47.569749;19.099644;F00773;;CSF00774;1;34
F00774;Leiningen Károly utca;47.570050;19.099476;F00774;;CSF00774;1;117
F00775;Vécsey Károly utca;47.569507;19.099222;F00775;;CSF00774;2;-141
F00776;Nádor utca;47.569416;19.093563;F00776;;CSF00778;2;-47
F00777;Türr István utca / Nádor utca;47.569461;19.093018;F00777;;CSF00778;2;39
F00778;Türr István utca / Nádor utca;47.569758;19.092846;F00778;;CSF00778;2;134
F00779;Szent László tér;47.567009;19.097867;F00779;;CSF00780;1;135
F00780;Szent László tér;47.567961;19.097759;F00780;;CSF00780;1;35
F00781;Szent László tér;47.567886;19.096871;F00781;;CSF00780;2;-43
F00782;Illek Vince utca;47.565658;19.088271;F00782;;CSF00783;2;-135
F00783;Illek Vince utca;47.565730;19.088510;F00783;;CSF00783;2;41
F00784;Csokonai utca;47.565032;19.090527;F00784;;CSF00784;2;-77
F00785;Csokonai utca;47.564938;19.090782;F00785;;CSF00784;2;102
F00786;Kiss Ernő utca;47.565003;19.094022;F00786;;CSF00786;1;-86
F00787;Kiss Ernő utca;47.564860;19.092600;F00787;;CSF00786;1;85
F00788;Kiss Ernő utca;47.564940;19.094620;F00788;;CSF00786;1;88
F00789;Újpesti rendelőintézet;47.565788;19.099859;F00789;;CSF00789;2;-45
F00790;Újpesti rendelőintézet;47.565181;19.100533;F00790;;CSF00789;1;-93
F00791;Újpesti rendelőintézet;47.565478;19.100055;F00791;;CSF00789;1;134
F00792;Újpesti rendelőintézet;47.565064;19.099842;F00792;;CSF00789;1;90
F00793;Újpesti piac;47.563077;19.088375;F00793;;CSF00796;2;-78
F00794;Templom utca;47.563189;19.086805;;;;1;96
F00795;Szent István tér (Újpesti piac);47.562815;19.090594;F00795;;CSF00796;2;-168
F00796;Szent István tér (Újpesti piac);47.563170;19.090765;F00796;;CSF00796;2;16
F00797;Újpest-Központ M;47.560157;19.089739;F00797;;CSF00910;2;12
F00798;Újpest-Központ M;47.560643;19.089833;F00798;;CSF00910;2;-167
F00799;Újpest-Központ M;47.560612;19.088347;F00799;;CSF00910;2;-82
F00800;Újpest-Központ M;47.560233;19.090924;F00800;;CSF00910;2;
F00801;Újpest-Központ M;47.560270;19.090672;F00801;;CSF00910;2;100
F00802;Újpest-Központ M;47.560256;19.090324;F00802;;CSF00910;2;100
F00803;Újpest-Központ M;47.560472;19.090271;F00803;;CSF00910;1;
F00804;Újpest-Központ M;47.561052;19.090207;F00804;;CSF00910;2;13
F00805;Újpest-Központ M;47.560350;19.090791;F00805;;CSF00910;1;-80
F00806;Újpest-Központ M;47.559919;19.089396;F00806;;CSF00910;2;
F00808;Árpád út;47.561128;19.079523;F00808;;CS044557;2;100
F00809;Újpest-Városkapu M;47.560569;19.083310;F00809;;CSF00810;2;96
F00810;Újpest-Városkapu M;47.560695;19.083005;F00810;;CSF00810;2;-80
F00811;Újpest-Városkapu M (Temesvári utca);47.559670;19.082379;F00811;;CSF00810;2;
F00812;Csányi László utca;47.558041;19.085421;;;;2;30
F00813;Aradi utca;47.556539;19.084371;;;;2;121
F00814;Újpest-Központ M (Munkásotthon utca);47.559325;19.089595;F00814;;CSF00910;2;12
